id,dateAdded,,name,,brand,categories,,,keys,manufacturer,,reviews.date,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,,,reviews.rating,,reviews.text,,,,price
11,2024-03-14,,Microsoft Surface Laptop 4,,Microsoft,Computers,,,"Microsoft Surface Laptop 4, latest model",Microsoft,,2024-04-02,2024-04-02,TRUE,TRUE,,,2,,Review for Microsoft Surface Laptop 4: Not up to the mark,,,,857.05
12,2024-04-21,,Nikon Z7 II,,Nikon,Cameras,,,"Nikon Z7 II, latest model",Nikon,,2024-04-19,2024-04-19,TRUE,TRUE,,,4,,Review for Nikon Z7 II: Excellent product,,,,354.71
13,2024-04-26,,Panasonic Lumix GH6,,Panasonic,Cameras,,,"Panasonic Lumix GH6, latest model",Panasonic,,2024-04-04,2024-04-04,FALSE,TRUE,,,1,,Review for Panasonic Lumix GH6: Not up to the mark,,,,775.02
14,2024-04-05,,Dell XPS 13,,Dell,Computers,,,"Dell XPS 13, latest model",Dell,,2024-04-09,2024-04-09,FALSE,TRUE,,,1,,Review for Dell XPS 13: Not up to the mark,,,,1379.39
15,2024-04-08,,JBL Charge 5,,JBL,Audio,,,"JBL Charge 5, latest model",JBL,,2024-04-09,2024-04-09,FALSE,TRUE,,,5,,Review for JBL Charge 5: Excellent product,,,,1374.89
16,2024-02-08,,Amazon Echo Dot (5th Gen),,Amazon,Smart Home,,,"Amazon Echo Dot (5th Gen), latest model",Amazon,,2024-04-16,2024-04-16,FALSE,FALSE,,,1,,Review for Amazon Echo Dot (5th Gen): Not up to the mark,,,,503.21
17,2024-02-07,,Canon EOS R5,,Canon,Cameras,,,"Canon EOS R5, latest model",Canon,,2024-04-29,2024-04-29,TRUE,FALSE,,,3,,Review for Canon EOS R5: Not up to the mark,,,,489.99
18,2024-04-21,,Valve Steam Deck,,Valve,Gaming,,,"Valve Steam Deck, latest model",Valve,,2024-04-10,2024-04-10,FALSE,FALSE,,,4,,Review for Valve Steam Deck: Excellent product,,,,1387.17
19,2024-02-03,,Fossil Gen 6,,Fossil,Wearables,,,"Fossil Gen 6, latest model",Fossil,,2024-04-17,2024-04-17,TRUE,FALSE,,,4,,Review for Fossil Gen 6: Excellent product,,,,207.09
20,2024-04-10,,Nintendo Switch OLED,,Nintendo,Gaming,,,"Nintendo Switch OLED, latest model",Nintendo,,2024-04-06,2024-04-06,TRUE,FALSE,,,2,,Review for Nintendo Switch OLED: Not up to the mark,,,,1854.62
21,2024-04-03,,Apple iPad Pro,,Apple,Tablets,,,"Apple iPad Pro, latest model",Apple,,2024-04-02,2024-04-02,FALSE,TRUE,,,3,,Review for Apple iPad Pro: Not up to the mark,,,,1825.32
22,2024-01-05,,Valve Steam Deck,,Valve,Gaming,,,"Valve Steam Deck, latest model",Valve,,2024-04-07,2024-04-07,TRUE,TRUE,,,4,,Review for Valve Steam Deck: Excellent product,,,,670.14
23,2024-04-28,,HP Spectre x360,,HP,Computers,,,"HP Spectre x360, latest model",HP,,2024-04-01,2024-04-01,FALSE,TRUE,,,4,,Review for HP Spectre x360: Excellent product,,,,712.05
24,2024-02-06,,Sennheiser HD 660S,,Sennheiser,Audio,,,"Sennheiser HD 660S, latest model",Sennheiser,,2024-05-02,2024-05-02,TRUE,TRUE,,,2,,Review for Sennheiser HD 660S: Not up to the mark,,,,1644.28
25,2024-04-14,,Google Pixel 7,,Google,Mobile Phones,,,"Google Pixel 7, latest model",Google,,2024-04-14,2024-04-14,TRUE,FALSE,,,3,,Review for Google Pixel 7: Not up to the mark,,,,84.37
26,2024-04-26,,Panasonic Lumix GH6,,Panasonic,Cameras,,,"Panasonic Lumix GH6, latest model",Panasonic,,2024-04-05,2024-04-05,TRUE,TRUE,,,3,,Review for Panasonic Lumix GH6: Not up to the mark,,,,1381.34
27,2024-03-01,,Dell XPS 13,,Dell,Computers,,,"Dell XPS 13, latest model",Dell,,2024-04-21,2024-04-21,TRUE,FALSE,,,5,,Review for Dell XPS 13: Excellent product,,,,448.66
28,2024-01-26,,Microsoft Surface Go 3,,Microsoft,Tablets,,,"Microsoft Surface Go 3, latest model",Microsoft,,2024-04-07,2024-04-07,FALSE,TRUE,,,4,,Review for Microsoft Surface Go 3: Excellent product,,,,502.56
29,2024-03-08,,Amazfit Bip U Pro,,Amazfit,Wearables,,,"Amazfit Bip U Pro, latest model",Amazfit,,2024-05-02,2024-05-02,FALSE,FALSE,,,1,,Review for Amazfit Bip U Pro: Not up to the mark,,,,571.03
30,2024-01-05,,Samsung Galaxy Watch 5,,Samsung,Wearables,,,"Samsung Galaxy Watch 5, latest model",Samsung,,2024-04-24,2024-04-24,TRUE,TRUE,,,5,,Review for Samsung Galaxy Watch 5: Excellent product,,,,970.67
31,2024-03-10,,Samsung Galaxy Watch 5,,Samsung,Wearables,,,"Samsung Galaxy Watch 5, latest model",Samsung,,2024-04-20,2024-04-20,TRUE,TRUE,,,1,,Review for Samsung Galaxy Watch 5: Not up to the mark,,,,1073.51
32,2024-01-13,,Sony Alpha A7 IV,,Sony,Cameras,,,"Sony Alpha A7 IV, latest model",Sony,,2024-04-17,2024-04-17,FALSE,TRUE,,,5,,Review for Sony Alpha A7 IV: Excellent product,,,,1869.56
33,2024-01-04,,Amazfit Bip U Pro,,Amazfit,Wearables,,,"Amazfit Bip U Pro, latest model",Amazfit,,2024-04-09,2024-04-09,FALSE,TRUE,,,4,,Review for Amazfit Bip U Pro: Excellent product,,,,880.72
34,2024-03-02,,Sony PlayStation 5,,Sony,Gaming,,,"Sony PlayStation 5, latest model",Sony,,2024-04-11,2024-04-11,TRUE,TRUE,,,2,,Review for Sony PlayStation 5: Not up to the mark,,,,864.31
35,2024-01-02,,Panasonic Lumix GH6,,Panasonic,Cameras,,,"Panasonic Lumix GH6, latest model",Panasonic,,2024-04-29,2024-04-29,FALSE,FALSE,,,4,,Review for Panasonic Lumix GH6: Excellent product,,,,1048.52
36,2024-01-28,,Bose QuietComfort 45,,Bose,Audio,,,"Bose QuietComfort 45, latest model",Bose,,2024-04-23,2024-04-23,FALSE,FALSE,,,1,,Review for Bose QuietComfort 45: Not up to the mark,,,,1355.18
37,2024-04-16,,Apple HomePod mini,,Apple,Smart Home,,,"Apple HomePod mini, latest model",Apple,,2024-04-14,2024-04-14,FALSE,FALSE,,,1,,Review for Apple HomePod mini: Not up to the mark,,,,1171.88
38,2024-04-08,,Apple MacBook Pro 14,,Apple,Computers,,,"Apple MacBook Pro 14, latest model",Apple,,2024-04-24,2024-04-24,TRUE,FALSE,,,1,,Review for Apple MacBook Pro 14: Not up to the mark,,,,352.78
39,2024-03-07,,Dell XPS 13,,Dell,Computers,,,"Dell XPS 13, latest model",Dell,,2024-04-13,2024-04-13,FALSE,TRUE,,,4,,Review for Dell XPS 13: Excellent product,,,,135.45
40,2024-01-04,,Amazon Echo Dot (5th Gen),,Amazon,Smart Home,,,"Amazon Echo Dot (5th Gen), latest model",Amazon,,2024-04-17,2024-04-17,FALSE,TRUE,,,5,,Review for Amazon Echo Dot (5th Gen): Excellent product,,,,221.73
41,2024-04-22,,Microsoft Surface Laptop 4,,Microsoft,Computers,,,"Microsoft Surface Laptop 4, latest model",Microsoft,,2024-04-16,2024-04-16,TRUE,TRUE,,,5,,Review for Microsoft Surface Laptop 4: Excellent product,,,,285.14
42,2024-03-06,,Apple HomePod mini,,Apple,Smart Home,,,"Apple HomePod mini, latest model",Apple,,2024-04-08,2024-04-08,FALSE,TRUE,,,3,,Review for Apple HomePod mini: Not up to the mark,,,,684.78
43,2024-03-27,,Ring Video Doorbell 4,,Ring,Smart Home,,,"Ring Video Doorbell 4, latest model",Ring,,2024-04-26,2024-04-26,TRUE,TRUE,,,2,,Review for Ring Video Doorbell 4: Not up to the mark,,,,1360.13
44,2024-03-24,,Valve Steam Deck,,Valve,Gaming,,,"Valve Steam Deck, latest model",Valve,,2024-04-14,2024-04-14,TRUE,TRUE,,,4,,Review for Valve Steam Deck: Excellent product,,,,698.63
45,2024-01-06,,Beats Studio Buds,,Beats,Audio,,,"Beats Studio Buds, latest model",Beats,,2024-04-23,2024-04-23,TRUE,FALSE,,,1,,Review for Beats Studio Buds: Not up to the mark,,,,930.03
46,2024-04-07,,Amazon Fire HD 10,,Amazon,Tablets,,,"Amazon Fire HD 10, latest model",Amazon,,2024-04-29,2024-04-29,TRUE,FALSE,,,2,,Review for Amazon Fire HD 10: Not up to the mark,,,,314.68
47,2024-04-20,,Sony PlayStation 5,,Sony,Gaming,,,"Sony PlayStation 5, latest model",Sony,,2024-05-02,2024-05-02,TRUE,TRUE,,,1,,Review for Sony PlayStation 5: Not up to the mark,,,,882.21
48,2024-04-08,,LG Gram 17,,LG,Computers,,,"LG Gram 17, latest model",LG,,2024-04-13,2024-04-13,FALSE,TRUE,,,5,,Review for LG Gram 17: Excellent product,,,,732.54
49,2024-01-05,,Philips Hue White and Color Ambiance,,Philips,Smart Home,,,"Philips Hue White and Color Ambiance, latest model",Philips,,2024-04-11,2024-04-11,FALSE,TRUE,,,4,,Review for Philips Hue White and Color Ambiance: Excellent product,,,,599.42
50,2024-04-01,,Apple MacBook Pro 14,,Apple,Computers,,,"Apple MacBook Pro 14, latest model",Apple,,2024-04-30,2024-04-30,TRUE,FALSE,,,4,,Review for Apple MacBook Pro 14: Excellent product,,,,1812.6
51,2024-02-10,,Fitbit Charge 5,,Fitbit,Wearables,,,"Fitbit Charge 5, latest model",Fitbit,,2024-04-30,2024-04-30,TRUE,FALSE,,,4,,Review for Fitbit Charge 5: Excellent product,,,,386.41
52,2024-03-13,,Logitech G Cloud,,Logitech,Gaming,,,"Logitech G Cloud, latest model",Logitech,,2024-04-17,2024-04-17,TRUE,FALSE,,,2,,Review for Logitech G Cloud: Not up to the mark,,,,1139.56
53,2024-01-11,,Amazon Echo Dot (5th Gen),,Amazon,Smart Home,,,"Amazon Echo Dot (5th Gen), latest model",Amazon,,2024-04-23,2024-04-23,TRUE,FALSE,,,5,,Review for Amazon Echo Dot (5th Gen): Excellent product,,,,1352.19
54,2024-01-02,,Razer Blade 15,,Razer,Computers,,,"Razer Blade 15, latest model",Razer,,2024-04-22,2024-04-22,TRUE,TRUE,,,1,,Review for Razer Blade 15: Not up to the mark,,,,1790.09
55,2024-01-29,,Fossil Gen 6,,Fossil,Wearables,,,"Fossil Gen 6, latest model",Fossil,,2024-04-26,2024-04-26,FALSE,FALSE,,,5,,Review for Fossil Gen 6: Excellent product,,,,288.47
56,2024-01-26,,Microsoft Surface Go 3,,Microsoft,Tablets,,,"Microsoft Surface Go 3, latest model",Microsoft,,2024-04-23,2024-04-23,FALSE,TRUE,,,2,,Review for Microsoft Surface Go 3: Not up to the mark,,,,1700.29
57,2024-01-29,,Apple Watch Series 8,,Apple,Wearables,,,"Apple Watch Series 8, latest model",Apple,,2024-04-25,2024-04-25,FALSE,FALSE,,,2,,Review for Apple Watch Series 8: Not up to the mark,,,,65.64
58,2024-04-08,,Dell XPS 13,,Dell,Computers,,,"Dell XPS 13, latest model",Dell,,2024-04-30,2024-04-30,FALSE,FALSE,,,2,,Review for Dell XPS 13: Not up to the mark,,,,527.61
59,2024-04-23,,Amazon Echo Dot (5th Gen),,Amazon,Smart Home,,,"Amazon Echo Dot (5th Gen), latest model",Amazon,,2024-04-16,2024-04-16,FALSE,TRUE,,,5,,Review for Amazon Echo Dot (5th Gen): Excellent product,,,,707.42
60,2024-01-18,,LG Gram 17,,LG,Computers,,,"LG Gram 17, latest model",LG,,2024-04-04,2024-04-04,TRUE,FALSE,,,5,,Review for LG Gram 17: Excellent product,,,,1460.31
61,2024-03-21,,Garmin Venu 2 Plus,,Garmin,Wearables,,,"Garmin Venu 2 Plus, latest model",Garmin,,2024-04-26,2024-04-26,TRUE,FALSE,,,4,,Review for Garmin Venu 2 Plus: Excellent product,,,,1896.1
62,2024-02-27,,Acer Swift 5,,Acer,Computers,,,"Acer Swift 5, latest model",Acer,,2024-04-13,2024-04-13,TRUE,TRUE,,,4,,Review for Acer Swift 5: Excellent product,,,,1145.86
63,2024-04-25,,Fujifilm X-T4,,Fujifilm,Cameras,,,"Fujifilm X-T4, latest model",Fujifilm,,2024-04-22,2024-04-22,TRUE,TRUE,,,5,,Review for Fujifilm X-T4: Excellent product,,,,64.61
64,2024-03-24,,Beats Studio Buds,,Beats,Audio,,,"Beats Studio Buds, latest model",Beats,,2024-04-01,2024-04-01,TRUE,TRUE,,,1,,Review for Beats Studio Buds: Not up to the mark,,,,1196.38
65,2024-04-05,,Ring Video Doorbell 4,,Ring,Smart Home,,,"Ring Video Doorbell 4, latest model",Ring,,2024-04-15,2024-04-15,FALSE,FALSE,,,2,,Review for Ring Video Doorbell 4: Not up to the mark,,,,317.06
66,2024-01-09,,Apple iPad Pro,,Apple,Tablets,,,"Apple iPad Pro, latest model",Apple,,2024-04-02,2024-04-02,TRUE,FALSE,,,3,,Review for Apple iPad Pro: Not up to the mark,,,,1347.48
67,2024-04-09,,Apple AirPods Pro 2,,Apple,Audio,,,"Apple AirPods Pro 2, latest model",Apple,,2024-04-13,2024-04-13,FALSE,FALSE,,,2,,Review for Apple AirPods Pro 2: Not up to the mark,,,,268.79
68,2024-02-26,,Samsung Galaxy Watch 5,,Samsung,Wearables,,,"Samsung Galaxy Watch 5, latest model",Samsung,,2024-04-15,2024-04-15,FALSE,TRUE,,,5,,Review for Samsung Galaxy Watch 5: Excellent product,,,,536.39
69,2024-03-04,,Garmin Venu 2 Plus,,Garmin,Wearables,,,"Garmin Venu 2 Plus, latest model",Garmin,,2024-04-02,2024-04-02,FALSE,FALSE,,,1,,Review for Garmin Venu 2 Plus: Not up to the mark,,,,699.24
70,2024-01-21,,Olympus OM-D E-M1X,,Olympus,Cameras,,,"Olympus OM-D E-M1X, latest model",Olympus,,2024-04-17,2024-04-17,FALSE,FALSE,,,5,,Review for Olympus OM-D E-M1X: Excellent product,,,,850.68
71,2024-03-22,,Huawei MatePad Pro,,Huawei,Tablets,,,"Huawei MatePad Pro, latest model",Huawei,,2024-04-15,2024-04-15,TRUE,FALSE,,,5,,Review for Huawei MatePad Pro: Excellent product,,,,504.55
72,2024-03-17,,Apple iPad Pro,,Apple,Tablets,,,"Apple iPad Pro, latest model",Apple,,2024-04-18,2024-04-18,TRUE,TRUE,,,3,,Review for Apple iPad Pro: Not up to the mark,,,,1995.58
73,2024-04-19,,Razer Blade 15,,Razer,Computers,,,"Razer Blade 15, latest model",Razer,,2024-04-07,2024-04-07,TRUE,FALSE,,,4,,Review for Razer Blade 15: Excellent product,,,,1011.73
74,2024-04-17,,Nintendo Switch OLED,,Nintendo,Gaming,,,"Nintendo Switch OLED, latest model",Nintendo,,2024-04-19,2024-04-19,FALSE,FALSE,,,4,,Review for Nintendo Switch OLED: Excellent product,,,,1258.33
75,2024-02-02,,Oppo Find X6 Pro,,Oppo,Mobile Phones,,,"Oppo Find X6 Pro, latest model",Oppo,,2024-04-29,2024-04-29,FALSE,TRUE,,,3,,Review for Oppo Find X6 Pro: Not up to the mark,,,,1554.43
76,2024-02-24,,Apple HomePod mini,,Apple,Smart Home,,,"Apple HomePod mini, latest model",Apple,,2024-04-04,2024-04-04,FALSE,FALSE,,,5,,Review for Apple HomePod mini: Excellent product,,,,505.3
77,2024-01-09,,Oppo Find X6 Pro,,Oppo,Mobile Phones,,,"Oppo Find X6 Pro, latest model",Oppo,,2024-04-09,2024-04-09,FALSE,TRUE,,,5,,Review for Oppo Find X6 Pro: Excellent product,,,,231.33
78,2024-04-15,,Fujifilm X-T4,,Fujifilm,Cameras,,,"Fujifilm X-T4, latest model",Fujifilm,,2024-04-20,2024-04-20,FALSE,FALSE,,,5,,Review for Fujifilm X-T4: Excellent product,,,,1815.03
79,2024-01-20,,Samsung Galaxy S23,,Samsung,Mobile Phones,,,"Samsung Galaxy S23, latest model",Samsung,,2024-04-17,2024-04-17,FALSE,TRUE,,,4,,Review for Samsung Galaxy S23: Excellent product,,,,724.64
80,2024-04-10,,Samsung Galaxy Tab S8,,Samsung,Tablets,,,"Samsung Galaxy Tab S8, latest model",Samsung,,2024-04-15,2024-04-15,FALSE,TRUE,,,4,,Review for Samsung Galaxy Tab S8: Excellent product,,,,1313.23
81,2024-03-26,,OnePlus 11,,OnePlus,Mobile Phones,,,"OnePlus 11, latest model",OnePlus,,2024-04-12,2024-04-12,FALSE,TRUE,,,2,,Review for OnePlus 11: Not up to the mark,,,,1734.79
82,2024-02-27,,HP Spectre x360,,HP,Computers,,,"HP Spectre x360, latest model",HP,,2024-04-18,2024-04-18,FALSE,TRUE,,,2,,Review for HP Spectre x360: Not up to the mark,,,,781.45
83,2024-01-14,,Canon EOS R5,,Canon,Cameras,,,"Canon EOS R5, latest model",Canon,,2024-04-20,2024-04-20,FALSE,TRUE,,,2,,Review for Canon EOS R5: Not up to the mark,,,,1900.39
84,2024-02-17,,Fujifilm X-T4,,Fujifilm,Cameras,,,"Fujifilm X-T4, latest model",Fujifilm,,2024-04-15,2024-04-15,TRUE,TRUE,,,3,,Review for Fujifilm X-T4: Not up to the mark,,,,1004.07
85,2024-04-28,,Microsoft Surface Go 3,,Microsoft,Tablets,,,"Microsoft Surface Go 3, latest model",Microsoft,,2024-04-28,2024-04-28,FALSE,FALSE,,,4,,Review for Microsoft Surface Go 3: Excellent product,,,,1476.31
86,2024-02-21,,Xiaomi Mi 13,,Xiaomi,Mobile Phones,,,"Xiaomi Mi 13, latest model",Xiaomi,,2024-04-11,2024-04-11,TRUE,TRUE,,,4,,Review for Xiaomi Mi 13: Excellent product,,,,1985.44
87,2024-03-15,,Samsung Galaxy Watch 5,,Samsung,Wearables,,,"Samsung Galaxy Watch 5, latest model",Samsung,,2024-05-01,2024-05-01,TRUE,TRUE,,,3,,Review for Samsung Galaxy Watch 5: Not up to the mark,,,,692.51
88,2024-02-24,,Samsung Galaxy Tab S8,,Samsung,Tablets,,,"Samsung Galaxy Tab S8, latest model",Samsung,,2024-04-05,2024-04-05,FALSE,TRUE,,,2,,Review for Samsung Galaxy Tab S8: Not up to the mark,,,,215.87
89,2024-01-31,,Philips Hue White and Color Ambiance,,Philips,Smart Home,,,"Philips Hue White and Color Ambiance, latest model",Philips,,2024-04-05,2024-04-05,FALSE,FALSE,,,4,,Review for Philips Hue White and Color Ambiance: Excellent product,,,,1342.14
90,2024-03-30,,Ecobee Smart Thermostat Premium,,Ecobee,Smart Home,,,"Ecobee Smart Thermostat Premium, latest model",Ecobee,,2024-04-27,2024-04-27,TRUE,FALSE,,,5,,Review for Ecobee Smart Thermostat Premium: Excellent product,,,,311.03
91,2024-01-28,,Fitbit Charge 5,,Fitbit,Wearables,,,"Fitbit Charge 5, latest model",Fitbit,,2024-05-02,2024-05-02,TRUE,FALSE,,,2,,Review for Fitbit Charge 5: Not up to the mark,,,,1763.13
92,2024-04-17,,LG Gram 17,,LG,Computers,,,"LG Gram 17, latest model",LG,,2024-04-12,2024-04-12,FALSE,FALSE,,,4,,Review for LG Gram 17: Excellent product,,,,565.94
93,2024-03-07,,Razer Blade 15,,Razer,Computers,,,"Razer Blade 15, latest model",Razer,,2024-04-01,2024-04-01,TRUE,TRUE,,,1,,Review for Razer Blade 15: Not up to the mark,,,,1018.87
94,2024-01-20,,Valve Steam Deck,,Valve,Gaming,,,"Valve Steam Deck, latest model",Valve,,2024-04-29,2024-04-29,FALSE,FALSE,,,4,,Review for Valve Steam Deck: Excellent product,,,,269.78
95,2024-03-10,,Sennheiser HD 660S,,Sennheiser,Audio,,,"Sennheiser HD 660S, latest model",Sennheiser,,2024-04-01,2024-04-01,TRUE,TRUE,,,3,,Review for Sennheiser HD 660S: Not up to the mark,,,,1434.36
96,2024-01-02,,LG Gram 17,,LG,Computers,,,"LG Gram 17, latest model",LG,,2024-04-11,2024-04-11,FALSE,FALSE,,,1,,Review for LG Gram 17: Not up to the mark,,,,595.9
97,2024-03-05,,Sony PlayStation 5,,Sony,Gaming,,,"Sony PlayStation 5, latest model",Sony,,2024-04-02,2024-04-02,FALSE,TRUE,,,3,,Review for Sony PlayStation 5: Not up to the mark,,,,713.95
98,2024-01-30,,Apple Watch Series 8,,Apple,Wearables,,,"Apple Watch Series 8, latest model",Apple,,2024-04-17,2024-04-17,FALSE,TRUE,,,3,,Review for Apple Watch Series 8: Not up to the mark,,,,796.48
99,2024-02-27,,Fujifilm X-T4,,Fujifilm,Cameras,,,"Fujifilm X-T4, latest model",Fujifilm,,2024-04-06,2024-04-06,FALSE,FALSE,,,1,,Review for Fujifilm X-T4: Not up to the mark,,,,291.0
100,2024-02-04,,Razer Blade 15,,Razer,Computers,,,"Razer Blade 15, latest model",Razer,,2024-04-26,2024-04-26,FALSE,FALSE,,,3,,Review for Razer Blade 15: Not up to the mark,,,,882.18
101,2024-02-11,,Samsung Galaxy S23,,Samsung,Mobile Phones,,,"Samsung Galaxy S23, latest model",Samsung,,2024-04-07,2024-04-07,FALSE,TRUE,,,3,,Review for Samsung Galaxy S23: Not up to the mark,,,,100.68
102,2024-03-23,,Valve Steam Deck,,Valve,Gaming,,,"Valve Steam Deck, latest model",Valve,,2024-04-01,2024-04-01,TRUE,TRUE,,,2,,Review for Valve Steam Deck: Not up to the mark,,,,1758.96
103,2024-04-05,,Amazon Fire HD 10,,Amazon,Tablets,,,"Amazon Fire HD 10, latest model",Amazon,,2024-04-23,2024-04-23,TRUE,TRUE,,,5,,Review for Amazon Fire HD 10: Excellent product,,,,1796.16
104,2024-02-26,,Xiaomi Mi 13,,Xiaomi,Mobile Phones,,,"Xiaomi Mi 13, latest model",Xiaomi,,2024-04-09,2024-04-09,FALSE,TRUE,,,5,,Review for Xiaomi Mi 13: Excellent product,,,,831.81
105,2024-01-31,,Nintendo Switch OLED,,Nintendo,Gaming,,,"Nintendo Switch OLED, latest model",Nintendo,,2024-04-29,2024-04-29,FALSE,TRUE,,,5,,Review for Nintendo Switch OLED: Excellent product,,,,1933.01
106,2024-02-19,,Samsung Galaxy S23,,Samsung,Mobile Phones,,,"Samsung Galaxy S23, latest model",Samsung,,2024-04-26,2024-04-26,TRUE,TRUE,,,1,,Review for Samsung Galaxy S23: Not up to the mark,,,,815.46
107,2024-04-06,,JBL Charge 5,,JBL,Audio,,,"JBL Charge 5, latest model",JBL,,2024-04-22,2024-04-22,FALSE,FALSE,,,5,,Review for JBL Charge 5: Excellent product,,,,1924.21
108,2024-01-01,,Apple iPhone 14,,Apple,Mobile Phones,,,"Apple iPhone 14, latest model",Apple,,2024-04-10,2024-04-10,FALSE,FALSE,,,1,,Review for Apple iPhone 14: Not up to the mark,,,,1856.82
109,2024-04-24,,Razer Edge,,Razer,Gaming,,,"Razer Edge, latest model",Razer,,2024-04-25,2024-04-25,TRUE,TRUE,,,5,,Review for Razer Edge: Excellent product,,,,386.59
110,2024-02-24,,Huawei MatePad Pro,,Huawei,Tablets,,,"Huawei MatePad Pro, latest model",Huawei,,2024-04-09,2024-04-09,TRUE,TRUE,,,4,,Review for Huawei MatePad Pro: Excellent product,,,,38.65
111,2024-04-26,,Samsung Galaxy Tab S8,,Samsung,Tablets,,,"Samsung Galaxy Tab S8, latest model",Samsung,,2024-04-10,2024-04-10,TRUE,TRUE,,,2,,Review for Samsung Galaxy Tab S8: Not up to the mark,,,,1768.14
112,2024-02-26,,Google Pixel 7,,Google,Mobile Phones,,,"Google Pixel 7, latest model",Google,,2024-04-29,2024-04-29,TRUE,TRUE,,,3,,Review for Google Pixel 7: Not up to the mark,,,,290.03
113,2024-04-08,,Beats Studio Buds,,Beats,Audio,,,"Beats Studio Buds, latest model",Beats,,2024-04-23,2024-04-23,TRUE,FALSE,,,1,,Review for Beats Studio Buds: Not up to the mark,,,,1606.97
114,2024-03-05,,JBL Charge 5,,JBL,Audio,,,"JBL Charge 5, latest model",JBL,,2024-05-01,2024-05-01,FALSE,TRUE,,,1,,Review for JBL Charge 5: Not up to the mark,,,,1540.31
115,2024-04-15,,Lenovo ThinkPad X1 Carbon,,Lenovo,Computers,,,"Lenovo ThinkPad X1 Carbon, latest model",Lenovo,,2024-04-01,2024-04-01,TRUE,TRUE,,,5,,Review for Lenovo ThinkPad X1 Carbon: Excellent product,,,,1171.76
116,2024-04-27,,Panasonic Lumix GH6,,Panasonic,Cameras,,,"Panasonic Lumix GH6, latest model",Panasonic,,2024-04-28,2024-04-28,FALSE,TRUE,,,5,,Review for Panasonic Lumix GH6: Excellent product,,,,1909.53
117,2024-01-31,,Valve Steam Deck,,Valve,Gaming,,,"Valve Steam Deck, latest model",Valve,,2024-04-16,2024-04-16,TRUE,TRUE,,,3,,Review for Valve Steam Deck: Not up to the mark,,,,986.71
118,2024-03-13,,Razer Edge,,Razer,Gaming,,,"Razer Edge, latest model",Razer,,2024-04-18,2024-04-18,TRUE,FALSE,,,2,,Review for Razer Edge: Not up to the mark,,,,694.81
119,2024-03-20,,Amazon Fire HD 10,,Amazon,Tablets,,,"Amazon Fire HD 10, latest model",Amazon,,2024-04-19,2024-04-19,FALSE,TRUE,,,3,,Review for Amazon Fire HD 10: Not up to the mark,,,,761.23
